Entity;Code;Year;Agricultural area (crops & grazing) (HYDE (2017))
Africa;;-10000;0
Africa;;-9000;0
Africa;;-8000;0
Africa;;-7000;7711.773
Africa;;-6000;164918.4
Africa;;-5000;6684508.59
Africa;;-4000;15603257.81
Africa;;-3000;25924796.84
Africa;;-2000;39830446.18
Africa;;-1000;67005750.67
Africa;;0;102177741.7
Africa;;100;108938341.9
Africa;;200;115541857
Africa;;300;121653956.4
Africa;;400;128935487
Africa;;500;138110525.3
Africa;;600;149082209.2
Africa;;700;162779692.9
Africa;;800;179625683.7
Africa;;900;193540250.8
Africa;;1000;206982254.2
Africa;;1100;218397039.8
Africa;;1200;229665287.4
Africa;;1300;248181267.7
Africa;;1400;265493492.4
Africa;;1500;275777007.3
Africa;;1600;303318030.2
Africa;;1700;358251271.5
Africa;;1710;351484325.4
Africa;;1720;356771174.9
Africa;;1730;362310154.9
Africa;;1740;368044645.9
Africa;;1750;374107403
Africa;;1760;380594642.3
Africa;;1770;387674304.1
Africa;;1780;395644721.7
Africa;;1790;405068370.6
Africa;;1800;417092461.6
Africa;;1810;434802730.5
Africa;;1820;444173786.4
Africa;;1830;460429583.4
Africa;;1840;470650615.8
Africa;;1850;482492862.6
Africa;;1860;495117488.2
Africa;;1870;508332527.5
Africa;;1880;529842961
Africa;;1890;546398819
Africa;;1900;569480922
Africa;;1910;596117972
Africa;;1920;627145792
Africa;;1930;669531992
Africa;;1940;737211703
Africa;;1950;885308650
Africa;;1960;1041511930
Africa;;1970;1055254500
Africa;;1980;1069108550
Africa;;1990;1092594180
Africa;;2000;1104185870
Africa;;2001;1108987090
Africa;;2002;1113223060
Africa;;2003;1120581760
Africa;;2004;1124755200
Africa;;2005;1133412290
Africa;;2006;1137461340
Africa;;2007;1139463190
Africa;;2008;1141221800
Africa;;2009;1143073310
Africa;;2010;1148295500
Africa;;2011;1154025970
Africa;;2012;1162770690
Africa;;2013;1166089000
Africa;;2014;1172966720
Africa;;2015;1179159707
Africa;;2016;1185060090
