name;type;name_rus;element_name;Леонид СМИРНОВ;Алексей СУЧКОВ;Пётр КИПРУШЕВ;Галина ИСТОМИНА;Анна ПОЛИКАРПОВА;Эльвира СЕРЕБРЯКОВА;Святослав БАБЕНКО
Московские звезды;sp;Елизавета ТУКТАМЫШЕВА;3A;3;3;3;4;5;3;3
Московские звезды;sp;Елизавета ТУКТАМЫШЕВА;3Lz+3T;3;4;3;4;4;3;3
Московские звезды;sp;Елизавета ТУКТАМЫШЕВА;FCSp4;3;5;4;4;4;4;3
Московские звезды;sp;Елизавета ТУКТАМЫШЕВА;3F;3;2;2;3;3;3;2
Московские звезды;sp;Елизавета ТУКТАМЫШЕВА;LSp3;3;3;3;3;3;4;3
Московские звезды;sp;Елизавета ТУКТАМЫШЕВА;StSq3;3;3;4;3;3;3;3
Московские звезды;sp;Елизавета ТУКТАМЫШЕВА;CCoSp4;4;4;3;4;4;4;3
Московские звезды;sp;Анастасия ЗИНИНА;2A;3;2;3;2;3;3;2
Московские звезды;sp;Анастасия ЗИНИНА;3F;3;3;3;3;3;2;3
Московские звезды;sp;Анастасия ЗИНИНА;FCSp4;2;2;2;3;2;3;3
Московские звезды;sp;Анастасия ЗИНИНА;3Lz+3T;2;3;2;3;3;2;2
Московские звезды;sp;Анастасия ЗИНИНА;CCoSp4;3;4;3;3;3;4;3
Московские звезды;sp;Анастасия ЗИНИНА;StSq2;3;3;3;3;2;2;3
Московские звезды;sp;Анастасия ЗИНИНА;LSp4;2;3;3;3;4;3;3
Московские звезды;sp;Мария РЕБРОВА;3Lz+3T;3;4;3;3;3;3;3
Московские звезды;sp;Мария РЕБРОВА;StSq2;3;2;2;2;1;2;3
Московские звезды;sp;Мария РЕБРОВА;LSp4;2;2;3;2;2;2;2
Московские звезды;sp;Мария РЕБРОВА;2A;3;2;2;2;2;3;3
Московские звезды;sp;Мария РЕБРОВА;3F<;-4;-3;-3;-3;-3;-3;-3
Московские звезды;sp;Мария РЕБРОВА;CCoSp2V;-1;-2;-2;0;-1;-2;-2
Московские звезды;sp;Мария РЕБРОВА;FCSp3;1;2;1;2;2;1;1
