id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;total_element_score;rank
id9;Софья МУРАВЬЕВА;1;3A;;8.0;;1.28;9.28;46.22;1
id9;Софья МУРАВЬЕВА;2;3F;;5.3;;1.59;6.89;46.22;1
id9;Софья МУРАВЬЕВА;3;LSp3;;2.4;;0.82;3.22;46.22;1
id9;Софья МУРАВЬЕВА;4;3Lz+3T;;11.11;x;1.65;12.76;46.22;1
id9;Софья МУРАВЬЕВА;5;CCoSp4;;3.5;;1.05;4.55;46.22;1
id9;Софья МУРАВЬЕВА;6;StSq4;;3.9;;1.4;5.3;46.22;1
id9;Софья МУРАВЬЕВА;7;FCSp4;;3.2;;1.02;4.22;46.22;1
id1;Елизавета ТУКТАМЫШЕВА;1;3A;;8.0;;2.56;10.56;41.56;2
id1;Елизавета ТУКТАМЫШЕВА;2;3Lz+3T<;<;9.26;;-0.59;8.67;41.56;2
id1;Елизавета ТУКТАМЫШЕВА;3;FCSp4;;3.2;;1.02;4.22;41.56;2
id1;Елизавета ТУКТАМЫШЕВА;4;3F;;5.83;x;1.59;7.42;41.56;2
id1;Елизавета ТУКТАМЫШЕВА;5;LSp3;;2.4;;0.72;3.12;41.56;2
id1;Елизавета ТУКТАМЫШЕВА;6;StSq2;;2.6;;0.42;3.02;41.56;2
id1;Елизавета ТУКТАМЫШЕВА;7;CCoSp4;;3.5;;1.05;4.55;41.56;2
id37;Ксения СИНИЦЫНА;1;2A;;3.3;;0.79;4.09;37.68;3
id37;Ксения СИНИЦЫНА;2;3F;;5.3;;1.38;6.68;37.68;3
id37;Ксения СИНИЦЫНА;3;CCoSp4;;3.5;;1.05;4.55;37.68;3
id37;Ксения СИНИЦЫНА;4;StSq2;;2.6;;0.78;3.38;37.68;3
id37;Ксения СИНИЦЫНА;5;3Lz+3T;;11.11;x;1.06;12.17;37.68;3
id37;Ксения СИНИЦЫНА;6;FCSp3;;2.8;;0.84;3.64;37.68;3
id37;Ксения СИНИЦЫНА;7;LSp3;;2.4;;0.77;3.17;37.68;3
id14;Алина ГОРБАЧЁВА;1;2A;;3.3;;0.86;4.16;35.04;4
id14;Алина ГОРБАЧЁВА;2;3Lo;;4.9;;1.18;6.08;35.04;4
id14;Алина ГОРБАЧЁВА;3;FCSp4;;3.2;;1.09;4.29;35.04;4
id14;Алина ГОРБАЧЁВА;4;3Lz+3T<;F;10.19;x;-2.95;7.24;35.04;4
id14;Алина ГОРБАЧЁВА;5;CCoSp4;;3.5;;1.19;4.69;35.04;4
id14;Алина ГОРБАЧЁВА;6;StSq4;;3.9;;1.17;5.07;35.04;4
id14;Алина ГОРБАЧЁВА;7;LSp4;;2.7;;0.81;3.51;35.04;4
id24;Виктория ФЕДЯНИНА;1;3Lz+3T;;10.1;;0.94;11.04;35.75;5
id24;Виктория ФЕДЯНИНА;2;3F;;5.3;;0.95;6.25;35.75;5
id24;Виктория ФЕДЯНИНА;3;CCoSp4;;3.5;;0.77;4.27;35.75;5
id24;Виктория ФЕДЯНИНА;4;2A;;3.63;x;0.66;4.29;35.75;5
id24;Виктория ФЕДЯНИНА;5;FSSp4;;3.0;;0.54;3.54;35.75;5
id24;Виктория ФЕДЯНИНА;6;StSq2;;2.6;;0.47;3.07;35.75;5
id24;Виктория ФЕДЯНИНА;7;LSp4;;2.7;;0.59;3.29;35.75;5
id35;Виктория НЕСТЕРОВА;1;3Lz+3T;;10.1;;0.94;11.04;32.63;6
id35;Виктория НЕСТЕРОВА;2;2A;;3.3;;0.46;3.76;32.63;6
id35;Виктория НЕСТЕРОВА;3;CCoSp4;;3.5;;0.7;4.2;32.63;6
id35;Виктория НЕСТЕРОВА;4;3Loq;q;5.39;x;-0.69;4.7;32.63;6
id35;Виктория НЕСТЕРОВА;5;FSSp2;;2.3;;0.37;2.67;32.63;6
id35;Виктория НЕСТЕРОВА;6;StSq2;;2.6;;0.42;3.02;32.63;6
id35;Виктория НЕСТЕРОВА;7;LSp4;;2.7;;0.54;3.24;32.63;6
id11;Екатерина АНИСИМОВА;1;2A;;3.3;;0.59;3.89;31.67;7
id11;Екатерина АНИСИМОВА;2;3F+3Tq;q;9.5;;-0.85;8.65;31.67;7
id11;Екатерина АНИСИМОВА;3;FSSp4;;3.0;;0.9;3.9;31.67;7
id11;Екатерина АНИСИМОВА;4;3Lo;;5.39;x;0.88;6.27;31.67;7
id11;Екатерина АНИСИМОВА;5;LSp4;;2.7;;0.81;3.51;31.67;7
id11;Екатерина АНИСИМОВА;6;StSq2;;2.6;;0.52;3.12;31.67;7
id11;Екатерина АНИСИМОВА;7;CCoSp2V;nS;1.88;;0.45;2.33;31.67;7
id40;Анна ФРОЛОВА;1;3Lz+3T;;10.1;;1.18;11.28;28.34;8
id40;Анна ФРОЛОВА;2;FSSp3;;2.6;;0.57;3.17;28.34;8
id40;Анна ФРОЛОВА;3;2A;;3.3;;0.73;4.03;28.34;8
id40;Анна ФРОЛОВА;4;Lo*;F;0.0;x;0.0;0.0;28.34;8
id40;Анна ФРОЛОВА;5;StSq2;;2.6;;0.36;2.96;28.34;8
id40;Анна ФРОЛОВА;6;CCoSp3;;3.0;;0.66;3.66;28.34;8
id40;Анна ФРОЛОВА;7;LSp4;;2.7;;0.54;3.24;28.34;8
id166;Ксения ГОВОРОВА;1;3T+3T;;8.4;;0.67;9.07;30.33;9
id166;Ксения ГОВОРОВА;2;2A;;3.3;;0.53;3.83;30.33;9
id166;Ксения ГОВОРОВА;3;SSp4;;2.5;;0.6;3.1;30.33;9
id166;Ксения ГОВОРОВА;4;CCoSp3;;3.0;;0.6;3.6;30.33;9
id166;Ксения ГОВОРОВА;5;3F;;5.83;x;-1.59;4.24;30.33;9
id166;Ксения ГОВОРОВА;6;FCSp3;;2.8;;0.62;3.42;30.33;9
id166;Ксения ГОВОРОВА;7;StSq2;;2.6;;0.47;3.07;30.33;9
id28;Вероника МАЛЫШЕВА;1;2A;;3.3;;0.53;3.83;28.41;10
id28;Вероника МАЛЫШЕВА;2;3Lz;;5.9;;-2.12;3.78;28.41;10
id28;Вероника МАЛЫШЕВА;3;FCSp3;;2.8;;0.39;3.19;28.41;10
id28;Вероника МАЛЫШЕВА;4;StSq2;;2.6;;0.16;2.76;28.41;10
id28;Вероника МАЛЫШЕВА;5;3F+2T;;7.26;x;0.11;7.37;28.41;10
id28;Вероника МАЛЫШЕВА;6;CCoSp4;;3.5;;0.63;4.13;28.41;10
id28;Вероника МАЛЫШЕВА;7;LSp4;;2.7;;0.65;3.35;28.41;10
id165;Екатерина СКУЛКИНА;1;3Lz;F;5.9;;-2.95;2.95;25.53;11
id165;Екатерина СКУЛКИНА;2;3Lo+2T;;6.2;;0.49;6.69;25.53;11
id165;Екатерина СКУЛКИНА;3;FSSp3;;2.6;;0.42;3.02;25.53;11
id165;Екатерина СКУЛКИНА;4;2A;;3.3;;0.53;3.83;25.53;11
id165;Екатерина СКУЛКИНА;5;LSp4;;2.7;;0.38;3.08;25.53;11
id165;Екатерина СКУЛКИНА;6;StSq2;;2.6;;0.36;2.96;25.53;11
id165;Екатерина СКУЛКИНА;7;CCoSp2;;2.5;;0.5;3.0;25.53;11
